85070 Dielectric Probe Software E07.02.29,,,
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Free Two Week Trial,,
Sub Title:,Go to 'http://na.tm.agilent.com/materials/' for details.,,
Date:,"Friday, June 09, 2017 13:11:16",,
,,,
frequency,e',e''/e',sensitivity
2000000,0.9211,-4.483,2154.7049
61980000,1.9155,0.0924,853.5825
121960000,2.1374,0.0933,671.4434
181940000,2.2305,0.1035,544.7404
241920000,2.3297,0.0929,457.2859
301900000,2.4055,0.0856,393.283
361880000,2.4659,0.0827,344.7121
421860000,2.5269,0.0771,306.7594
481840000,2.5269,0.0598,275.5465
541820000,2.5454,0.0578,250.4307
601800000,2.5712,0.0595,229.6117
661780000,2.6047,0.0553,212.0007
721760000,2.6044,0.047,196.7074
781740000,2.614,0.0332,183.4892
841720000,2.6236,0.0369,172.0492
901700000,2.6307,0.0345,161.9206
961680000,2.6425,0.0337,152.952
1021660000,2.6447,0.0315,144.899
1081640000,2.645,0.0281,137.6486
1141620000,2.6597,0.0281,131.1455
1201600000,2.6576,0.0211,125.1686
1261580000,2.6688,0.0194,119.766
1321560000,2.6465,0.0193,114.7587
1381540000,2.6528,0.0219,110.2185
1441520000,2.6432,0.0195,105.9856
1501500000,2.6556,0.0158,102.0982
1561480000,2.6501,0.0139,98.4698
1621460000,2.631,0.0105,95.0686
1681440000,2.651,0.0083,91.9535
1741420000,2.6646,0.0003,89.012
1801400000,2.6579,0.0024,86.2622
1861380000,2.6622,0.0024,83.6863
1921360000,2.6605,0.004,81.2609
1981340000,2.6658,0.0042,78.9784
2041320000,2.6837,0.0107,76.8551
2101300000,2.6581,0.0036,74.7644
2161280000,2.6509,0.0014,72.816
2221260000,2.6486,-0.0019,70.969
2281240000,2.6499,0.0014,69.2365
2341220000,2.6485,0.0036,67.584
2401200000,2.654,-0.0055,65.9853
2461180000,2.6547,-0.0066,64.4782
2521160000,2.6539,-0.0088,63.0354
2581140000,2.6565,-0.0102,61.6622
2641120000,2.664,-0.0025,60.3759
2701100000,2.6525,-0.0082,59.0964
2761080000,2.6523,-0.0069,57.896
2821060000,2.6451,-0.0089,56.7317
2881040000,2.6493,-0.0129,55.6165
2941020000,2.655,-0.0175,54.5445
3001000000,2.6482,-0.0183,53.5149
3060980000,2.6443,-0.0159,52.5339
3120960000,2.639,-0.0148,51.5857
3180940000,2.6492,-0.0183,50.6698
3240920000,2.6582,-0.021,49.7879
3300900000,2.6563,-0.0219,48.9348
3360880000,2.6472,-0.0216,48.11
3420860000,2.6539,-0.0221,47.3201
3480840000,2.6624,-0.0241,46.5539
3540820000,2.6657,-0.0229,45.8179
3600800000,2.6547,-0.0168,45.1096
3660780000,2.6341,-0.0226,44.3902
3720760000,2.621,-0.022,43.7127
3780740000,2.6524,-0.02,43.0821
3840720000,2.6571,-0.0276,42.4344
3900700000,2.6466,-0.03,41.8103
3960680000,2.6336,-0.0306,41.2076
4020660000,2.6368,-0.0345,40.6223
4080640000,2.6569,-0.0337,40.0725
4140620000,2.6534,-0.0309,39.5318
4200600000,2.6493,-0.0312,38.9991
4260580000,2.6314,-0.034,38.4685
4320560000,2.6314,-0.0358,37.9626
4380540000,2.6385,-0.0302,37.4904
4440520000,2.6341,-0.0324,37.0076
4500500000,2.634,-0.0345,36.5395
4560480000,2.6355,-0.0343,36.0893
4620460000,2.647,-0.0386,35.6445
4680440000,2.6573,-0.0324,35.2339
4740420000,2.6277,-0.0363,34.7941
4800400000,2.6127,-0.0413,34.3685
4860380000,2.6245,-0.0412,33.9752
4920360000,2.6426,-0.0441,33.587
4980340000,2.6545,-0.0446,33.211
5040320000,2.6356,-0.0449,32.8317
5100300000,2.6079,-0.0453,32.4573
5160280000,2.6218,-0.0438,32.1122
5220260000,2.6518,-0.0443,31.7762
5280240000,2.6627,-0.0477,31.4341
5340220000,2.6371,-0.0474,31.0938
5400200000,2.6233,-0.0455,30.7687
5460180000,2.6426,-0.0467,30.4563
5520160000,2.6591,-0.0467,30.1519
5580140000,2.6484,-0.0505,29.8355
5640120000,2.6335,-0.0522,29.5287
5700100000,2.6416,-0.0482,29.2491
5760080000,2.6134,-0.0493,28.9509
5820060000,2.6588,-0.0488,28.6885
5880040000,2.6428,-0.0498,28.4064
5940020000,2.634,-0.0514,28.131
6000000000,2.6309,-0.0516,27.8658
,2.600264356,,
