85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Tuesday, September 26, 2017 13:35:00"

frequency,e',e''/e'
   2000000.0000,9999.0000,   1.0000
  61980000.0000,   4.7870,   0.1552
 121960000.0000,   5.0629,   0.1327
 181940000.0000,   5.2853,   0.0599
 241920000.0000,   5.2935,  -0.0139
 301900000.0000,   5.2790,  -0.0419
 361880000.0000,   5.2122,  -0.0234
 421860000.0000,   5.2225,   0.0226
 481840000.0000,   5.2727,   0.0414
 541820000.0000,   5.3405,   0.0387
 601800000.0000,   5.2962,   0.0299
 661780000.0000,   5.2608,   0.0232
 721760000.0000,   5.2784,   0.0377
 781740000.0000,   5.3245,   0.0388
 841720000.0000,   5.3762,   0.0315
 901700000.0000,   5.4024,   0.0168
 961680000.0000,   5.3919,   0.0078
1021660000.0000,   5.3241,   0.0214
1081640000.0000,   5.2966,   0.0361
1141620000.0000,   5.2812,   0.0461
1201600000.0000,   5.2961,   0.0432
1261580000.0000,   5.2639,   0.0383
1321560000.0000,   5.2552,   0.0340
1381540000.0000,   5.2444,   0.0444
1441520000.0000,   5.2834,   0.0583
1501500000.0000,   5.3128,   0.0584
1561480000.0000,   5.3066,   0.0503
1621460000.0000,   5.2888,   0.0423
1681440000.0000,   5.2448,   0.0409
1741420000.0000,   5.2307,   0.0500
1801400000.0000,   5.2646,   0.0511
1861380000.0000,   5.2974,   0.0500
1921360000.0000,   5.2971,   0.0452
1981340000.0000,   5.2661,   0.0430
2041320000.0000,   5.2348,   0.0430
2101300000.0000,   5.2770,   0.0542
2161280000.0000,   5.2921,   0.0574
2221260000.0000,   5.3062,   0.0527
2281240000.0000,   5.2936,   0.0488
2341220000.0000,   5.2764,   0.0482
2401200000.0000,   5.2847,   0.0559
2461180000.0000,   5.3186,   0.0601
2521160000.0000,   5.3474,   0.0590
2581140000.0000,   5.3547,   0.0556
2641120000.0000,   5.3439,   0.0562
2701100000.0000,   5.3268,   0.0603
2761080000.0000,   5.3322,   0.0680
2821060000.0000,   5.3640,   0.0714
2881040000.0000,   5.3887,   0.0700
2941020000.0000,   5.3910,   0.0677
3001000000.0000,   5.3763,   0.0680
3060980000.0000,   5.3675,   0.0747
3120960000.0000,   5.3747,   0.0826
3180940000.0000,   5.4004,   0.0844
3240920000.0000,   5.4117,   0.0841
3300900000.0000,   5.4036,   0.0838
3360880000.0000,   5.3857,   0.0860
3420860000.0000,   5.3690,   0.0955
3480840000.0000,   5.3874,   0.1025
3540820000.0000,   5.4048,   0.1000
3600800000.0000,   5.3931,   0.1002
3660780000.0000,   5.3781,   0.0982
3720760000.0000,   5.3435,   0.1032
3780740000.0000,   5.3624,   0.1093
3840720000.0000,   5.3899,   0.1121
3900700000.0000,   5.4044,   0.1102
3960680000.0000,   5.3991,   0.1091
4020660000.0000,   5.3774,   0.1115
4080640000.0000,   5.3667,   0.1177
4140620000.0000,   5.3880,   0.1202
4200600000.0000,   5.3945,   0.1209
4260580000.0000,   5.3996,   0.1205
4320560000.0000,   5.3812,   0.1301
4380540000.0000,   5.3768,   0.1280
4440520000.0000,   5.3970,   0.1328
4500500000.0000,   5.4080,   0.1349
4560480000.0000,   5.4016,   0.1348
4620460000.0000,   5.3857,   0.1358
4680440000.0000,   5.3681,   0.1377
4740420000.0000,   5.3812,   0.1416
4800400000.0000,   5.4017,   0.1418
4860380000.0000,   5.4129,   0.1450
4920360000.0000,   5.4348,   0.1465
4980340000.0000,   5.4131,   0.1486
5040320000.0000,   5.4050,   0.1530
5100300000.0000,   5.4205,   0.1561
5160280000.0000,   5.4076,   0.1626
5220260000.0000,   5.4250,   0.1642
5280240000.0000,   5.4241,   0.1674
5340220000.0000,   5.4109,   0.1712
5400200000.0000,   5.3827,   0.1785
5460180000.0000,   5.3920,   0.1839
5520160000.0000,   5.4041,   0.1835
5580140000.0000,   5.3956,   0.1842
5640120000.0000,   5.3937,   0.1833
5700100000.0000,   5.3750,   0.1869
5760080000.0000,   5.3947,   0.1977
5820060000.0000,   5.4030,   0.2009
5880040000.0000,   5.3941,   0.2037
5940020000.0000,   5.3827,   0.2036
6000000000.0000,   5.3661,   0.2032
