85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, September 28, 2017 14:15:20"

frequency,e',e''/e'
   2000000.0000,  26.1645,   0.3395
  61980000.0000,  19.0407,   0.0558
 121960000.0000,  18.6701,   0.0513
 181940000.0000,  17.9258,   0.0616
 241920000.0000,  16.9850,   0.0601
 301900000.0000,  16.0551,   0.0356
 361880000.0000,  15.5665,  -0.0198
 421860000.0000,  16.0652,  -0.0718
 481840000.0000,  17.3951,  -0.0763
 541820000.0000,  18.5868,  -0.0314
 601800000.0000,  18.9789,   0.0116
 661780000.0000,  19.1617,   0.0184
 721760000.0000,  19.5645,   0.0091
 781740000.0000,  20.2105,  -0.0008
 841720000.0000,  20.8165,  -0.0050
 901700000.0000,  21.1335,  -0.0034
 961680000.0000,  21.1180,  -0.0003
1021660000.0000,  20.7639,   0.0041
1081640000.0000,  20.2165,   0.0077
1141620000.0000,  19.7066,   0.0078
1201600000.0000,  19.3543,   0.0094
1261580000.0000,  19.0704,   0.0136
1321560000.0000,  18.9141,   0.0229
1381540000.0000,  18.8900,   0.0311
1441520000.0000,  19.0770,   0.0347
1501500000.0000,  19.3161,   0.0342
1561480000.0000,  19.4565,   0.0328
1621460000.0000,  19.4939,   0.0323
1681440000.0000,  19.5078,   0.0328
1741420000.0000,  19.5773,   0.0271
1801400000.0000,  19.6073,   0.0204
1861380000.0000,  19.4908,   0.0167
1921360000.0000,  19.3047,   0.0169
1981340000.0000,  19.1876,   0.0190
2041320000.0000,  19.2589,   0.0237
2101300000.0000,  19.4288,   0.0280
2161280000.0000,  19.5094,   0.0279
2221260000.0000,  19.5458,   0.0309
2281240000.0000,  19.6306,   0.0375
2341220000.0000,  19.7475,   0.0431
2401200000.0000,  19.8094,   0.0442
2461180000.0000,  19.8201,   0.0400
2521160000.0000,  19.7365,   0.0358
2581140000.0000,  19.6466,   0.0369
2641120000.0000,  19.6459,   0.0421
2701100000.0000,  19.7111,   0.0474
2761080000.0000,  19.7750,   0.0492
2821060000.0000,  19.8036,   0.0503
2881040000.0000,  19.8183,   0.0524
2941020000.0000,  19.8807,   0.0586
3001000000.0000,  20.0211,   0.0646
3060980000.0000,  20.0542,   0.0694
3120960000.0000,  19.9477,   0.0715
3180940000.0000,  19.8037,   0.0706
3240920000.0000,  19.7705,   0.0720
3300900000.0000,  19.8049,   0.0768
3360880000.0000,  19.7751,   0.0827
3420860000.0000,  19.6730,   0.0856
3480840000.0000,  19.6886,   0.0815
3540820000.0000,  19.8723,   0.0787
3600800000.0000,  19.9522,   0.0809
3660780000.0000,  19.8665,   0.0843
3720760000.0000,  19.7506,   0.0888
3780740000.0000,  19.7568,   0.0903
3840720000.0000,  19.8643,   0.0890
3900700000.0000,  19.8574,   0.0902
3960680000.0000,  19.7020,   0.0935
4020660000.0000,  19.6113,   0.0995
4080640000.0000,  19.7690,   0.0986
4140620000.0000,  20.0297,   0.0950
4200600000.0000,  20.0469,   0.0915
4260580000.0000,  19.8747,   0.0949
4320560000.0000,  19.7894,   0.1001
4380540000.0000,  19.9909,   0.1012
4440520000.0000,  20.1670,   0.0993
4500500000.0000,  20.0701,   0.1001
4560480000.0000,  19.8570,   0.1085
4620460000.0000,  19.8667,   0.1180
4680440000.0000,  20.1632,   0.1217
4740420000.0000,  20.3362,   0.1197
4800400000.0000,  20.1598,   0.1181
4860380000.0000,  19.9561,   0.1205
4920360000.0000,  20.0765,   0.1229
4980340000.0000,  20.4689,   0.1212
5040320000.0000,  20.5353,   0.1195
5100300000.0000,  20.1464,   0.1251
5160280000.0000,  19.8368,   0.1343
5220260000.0000,  19.9428,   0.1416
5280240000.0000,  20.2257,   0.1459
5340220000.0000,  20.2040,   0.1491
5400200000.0000,  20.0514,   0.1551
5460180000.0000,  20.1660,   0.1589
5520160000.0000,  20.6544,   0.1598
5580140000.0000,  21.0635,   0.1620
5640120000.0000,  20.8302,   0.1610
5700100000.0000,  20.2494,   0.1589
5760080000.0000,  20.1352,   0.1588
5820060000.0000,  20.3001,   0.1584
5880040000.0000,  20.2965,   0.1569
5940020000.0000,  19.9432,   0.1619
6000000000.0000,  19.6627,   0.1735
